recommendation,use,authors,title,year_publication,journal,country,study_design,aim,relation_to_research,type_of_dms,,medical_condition,patient_preferences_incorp,,assess_patient_preferences,description_patient_pref,type,type spec,tools_techniques_frameworks,,patient_involvement,,stakeholders_involved,,design_reatement_options,evaluate_balance_quantify,findings_related_ebq,,user_acceptance_tested,outcomes,limitations,implications_future,benefits
1,2,"Man-Son-Hing M, Laupacis A, O'Connor AM, Coyle D, Berquist R, McAlister F",Patient preference-based treatment thresholds and recommendations: a comparison of decision-analytic modeling with the probability-tradeoff technique,2000,Medical Decision Making,Canada,Research Article,To determine whether preference-based group-level treatment thresholds and individual-level treatment recommendations derived from the Probability-tradeoff Technique (PTOT) are identical to those from Decision Analysis (DA) incorporating patients' own values.,The DA they described incorporated patient preferences,Decision-analytic (DA) modeling,-,general,"Yes, Preferences for risk reduction necessary to choose aspirin therapy over no treatment",i,face-to-face interview,"In PTOT, directly from individual assessments of acceptable risk reductions. In DA, values from participant assessments were used to calculate quality-adjusted life years (QALYs) for different scenarios.",d,mar,PTOT with visual aids and structured interviews. Decision tree and Markov model used in DA,s,Scoring ,1,No,,1-Aspirin 2-No Aspirin Use,Comparisons of treatment thresholds and recommendations derived from PTOT and DA,"Significant differences in treatment recommendations based on PTOT vs. DA, with patient preferences significantly influencing the decisions in PTOT more than in DA",0,No,Methods used for incorporating patient preferences can significantly impact clinical decisions,1-the use of health-state values derived from a VAS as opposed to utilities. 2-DA model did not simulate the actual clinical situation with sufficient adequacy to produce reliable treatment recommendations for actual patients. 3-Limited numbers of participants ,1-Further studies to explore optimal methods for incorporating patient preferences into clinical decision-making processes.,Enhanced understanding of how different methodologies affect treatment recommendations
1,2,Aleem te al.,Clinical decision analysis: Incorporating the evidence with patient preferences,2009,Patient Preference and Adherence,Canada,research article, highlight the importance of incorporating evidence-based medicine and patient preferences in clinical decision-making,"discuss the use of decision analysis techniques, which involve incorporating patient and expert preferences, available literature, probabilities, and outcome values to make informed clinical decisions.",model,-,general,general,"e,l,s,i",expert judgment; literature; survey or interviews,"Patient preferences are incorporated into the model through the use of utility values, which are measures of the relative preference or desirability for a given outcome. These utility values are generally expressed as a numerical value between 0 and 1, where 0 represents the worst outcome and 1 represents the best outcome in a given clinical scenario. The study mentions that these utility values can be estimated through arbitrary assignment of values based on expert judgment, published values in the literature, or patient preferences obtained through surveys or interviews",s,e,"baseline probabilities and outcome values from literature, expert opinion, and/or patient preferences",,"patient preferences are incorporated by attaining outcome values from patient preferences, expert opinion, and/or literature. These values are then multiplied by their respective probabilities and summed across nodes within a particular branch to calculate the decision tree. The uncertainty of utilities can be accounted for by including a range of reasonable values and performing a sensitivity analysis to determine the range of values for which a given outcome is preferred.",2,patients and health care providers,, -," expert judgment, published values in the literature, and patient preferences obtained through surveys or interviews; ", -,0,no,"discusses the use of decision trees, probabilities, and outcome values to assist in making informed clinical decisions; highlights the importance of incorporating patient and expert preferences; emphasizes the systematic and rigorous analysis of available literature to derive reliable probabilities of clinical outcomes; igorous and objective analysis of outcomes and probabilities to achieve the best possible decision","biases may affect data, and rigorous methodologies are necessary to ensure the validity of utility estimates; Complexity of Clinical Decision-Making; time-consuming and require a substantial amount of information and rigorous analyses; eed for careful interpretation of the results;  probabilities are associated with uncertainty",address the complexity of clinical decision-making in future research; validating utility estimates to ensure the accuracy of decision analysis models; explore the use of sensitivity analysis in decision analysis models to improve the accuracy of decision-making;  developing more robust comparative effectiveness research methodologies to improve the accuracy of decision analysis models;focus on evaluating the implementation and effectiveness of decision analysis models ,"rigorous and objective analysis of outcomes and probabilities; incorporating patient and expert preferences into decision analysis models; roviding a structured approach to assessing the likelihood of outcomes and the relative desirability of different clinical scenarios; use of sensitivity analysis to assess how different estimates can affect the final decision; facilitates evidence-based medicine by incorporating literature-derived probabilities; Decision trees are described as adaptable, and the values they represent are considered a current benchmark"
1,2,Rapaport et al.,A design process for using normative models in shared decision making: a case study in the context of prenatal testing,2012,Health expectations,Israel,reseach article,"improve the quality of patient - physician communication by developing a novel design process for SDM and then demonstrating, through a case study, the applicability of this process in enabling the use of a normative model for a specific medical situation",usage of normative models in shared decision making,DSS,-,general,pain or discomfort associated with different actions; patient's attitude towards financial risk;,"q,specific","questionnaire, Conjoint Analysis","integration involved adjusting the parameters of the model to reflect the patient's preferences and values, ensuring that the model was tailored to the specific decision context of prenatal testing",s,u,Utility Theory,"q,i","questionair for patient preferences, shared decision making",3,"patient, clinician, healthcare providers",,doctor decides how options are presented,Conjoint Analysis,"By assessing patients' willingness to participate in financial lotteries and their attitudes towards financial risk, researchers could understand how risk preferences influenced patient decision-making",0, -,,,,
1,2,Dowie et al.,Towards generic online multicriteria decision support in patient-centred health care,2013,Health Expectations,Australia,research article,development of a new online decision support system for patient-centred health care based on multicriteria decision analysis,discusses a new online generic decision support system based on multicriteria decision analysis (MCDA) that aims to incorporate patient preferences into medical decision-making.,decision aid,-,general,general,-, -,"The system generates patient-specific clinical guidance in the form of an opinion as to the merits of the alternative options in a decision, which are all scored and ranked. The scores for each option combine, in a simple expected value calculation, the best estimates available now for the performance of those options on patient-determined criteria, with the individual patient's preferences, expressed as importance weightings for those criteria. Patient preferences are incorporated into the model through the use of importance weightings for the criteria that are important to them.",m,mcda,MCDA,w,weightings,2,"patients, healthcare providers",,shows weighting and ratings of two treatment options with an overall score of the two options,weightings, -,0,no,development of an online generic decision support system based on multicriteria decision analysis; designed to generate patient-specific clinical guidance; emphasizes the importance of incorporating patient preferences into the decision-making process; aiming to support shared decision-making and informed choice within a commitment to transparency,imited implementation of MCDA-based decision support in healthcare; challenges related to the usability and communicability of current software implementations of MCDA techniques,necessary to improve the practicality and effectiveness of MCDA-based decision support systems; focus on the development and implementation of decision support systems that more effectively incorporate patient preferences and individualized criteria; explore the impact of MCDA-based decision support systems on shared decision-making and informed choice,"approach aligns with the philosophy of person- and patient-centered care; provide patient-specific clinical guidance in the form of an opinion as to the merits of alternative options in a decision, which are all scored and ranked; emphasizes a commitment to transparency in relation to both the evidence and preference bases of decisions; practical and user-friendly nature of the software (Annalisa©) implementing the MCDA-based decision support system"
1,2,"Kuziemsky C, Astaraky D, Wilk S, Michalowski W, Andreev P", A Framework for Incorporating Patient Preferences to Deliver Participatory Medicine via Interdisciplinary Healthcare Teams,2014,AMIA Annual Symposium Proceedings,Canada,Research Article,To develop a framework for participatory medicine that incorporates patient preferences and integrates interdisciplinary healthcare team members,They also include case study in this paper about how they will incorporate patient preferences,"Article called it ""health information system"" but is basically a decision aid",-,general,"Yes, about Regimen complexity and dizziness after using the drug",i,by asking a patient to compare pairs of possible therapies," First patients were asked about marginal values of low, moderate, and high level of ""treatment complexity"" and  ""Drowsiness"". Then stake holders determined each treatment option's level of complexity and dizziness after it. And then these two values of each treatment option is summed up to have total marginal value of each treatment option.",s,s,They used the Generalized Regression with Intensities of Preferences (GRIP) to calculate the   marginal values of treatment regimens for the patient,s,Scoring ,2,Yes,,Therapy1  :Acetaminophen administered  orally  and  Antidepressant medication and Superficial heat & cold method Therap 2 : NSAID with transdermal administration and Antidepressant medication and Guided imagery Therap 3 : only Cannabinoids by oral mucosal spray  , -, -,0,No,"Improved integration of patient preferences into care delivery, enhancing patient satisfaction and outcomes in care management", -,The study suggests further research into expanding the framework to other therapeutic areas and exploring its impact on larger healthcare settings,"Enhanced patient-centered care through the structured incorporation of patient preferences into interdisciplinary healthcare team workflows, leading to better patient outcomes and satisfaction ."
1,2,"Sacchi L, Rubrichi S, Rognoni C, Panzarasa S, Parimbelli E, Mazzanti A, Napolitano C, Priori SG, Quaglini S",From decision to shared-decision: Introducing patients' preferences into clinical decision analysis,2015,Artificial Intelligence in Medicine ,Italy,Research Article,"To propose a unified framework to promote the shift from a traditional, physician-centered, clinical decision process to a more personalized, patient-oriented shared  decision-making (SDM) environment.",they tried to incorporate patient prefrences in treatment cost and efficacy anticipation calculations,Web based decition tree,-,general,their expectations about treatment costs and their health situation after treatment ,"i,q",for utility model: face-to-face interaction done by physician for cost model : questionnaire,"for utility model : utility coefficients were calculated based on patient preferences then based on these utility coefficients, Quality-adjusted life years (QALYs) is calculated. for cost model : possible out of pocket costs calculated by patient preferences.",d,d,With decision tree made by 'Mobi Guide ',r,For utility model: rating all the represented states The cost model: filling cost assessment questionary by their prefrences,2,No (only a physician who ran the face to face interview),,possible therapeutic options (3 options) and No theraphy,for Utility model: standard gamble (SG) and time trade-off (TTO) for cost model: simple cost calculation based based on real expences,"TTO involves comparing scenarios with varying healthy time, while SG offers alternatives involving treatment and associated risks, with UC computed based on patient indifference. ",0,No,"The results  of personalized decision models, substantially differ from  models quantified with population coefficients.","1-Limited Clinical Sample: Evaluation on a small, biased sample in a specific setting. 2-Sample Bias: Primarily post-surgery AF patients may not represent a diverse population. 3-Future State Challenges: Prospecting unfamiliar health states may pose challenges. 4-Incomplete System Testing: The full MobiGuide system has not been tested in clinical practice.",1-Extended Clinical Evaluation: Assess generalizability and effectiveness across diverse patient populations. 2- Economic Impact testing : Evaluate cost benefits of the shared-decision framework for chronic disease management. 3- Continuous System Testing: Ongoing testing of the complete MobiGuide system in real-world scenarios. 5-Long-Term Impact testing: Study the lasting effects of shared decision-making frameworks on patient outcomes and healthcare utilization,Results showed with incorporating patient preferences researches got significantly different  Quality-adjusted life years   And treatment cost estimates than using population values.
1,2,"Kukafka R, Jeong Ic, Finkelstein J",Optimizing Decision Support for Tailored Health Behavior Change Applications. Stud Health Technol Inform,2015,Studies in Health Technology and Informatics,USA,Research article,to identify primary determinants of health behavior choices made by patients after using the Tailored Lifestyle Change Decision Aid system,It introduces a decision aid which incorporates patient preferences,Web based Decision Aid,-,general,"yes about :1)diet, 2) weight 3) physical activity 4) tobacco use and 5) psychosocial issues",q,standardized questionnaires,"a stepwise discriminant analysis was performed. At each step, the parameters that minimized the overall Wilks' Lambda were entered. 40 independent variables were  removed from algorithm.",,e,discriminant analysis was performed to identify an optimal set of predictors. ,s,Scoring ,1,no,,"i.e., number of cigarettes smoked and level of nicotine dependence",All  nominal variables (including preferences) were converted into ordinal variables for  the purpose of analysis.,"smoking status (S Status), success estimate in smoking cessation (S Success), smoking self-efficacy (S SoC), body mass index (BMI) and diet status (D Status) have been chosen to be incorporated in final algorithm.",0,No,First version of decision aid was developed , -,To determine predictors of behavior changes people would choose when not constrained,"This decision aid provided the opportunity for choice, rather than an obligation to adhere to an assigned regimen"
1,2,"Linkov F, Valappil B, McAfee J, Goughnour SL, Hildrew DM, McCall AA, Linkov I, Hirsch B, Snyderman C",Development of an evidence-based decision pathway for vestibular schwannoma treatment options,2017,American Journal of Otolaryngology,USA,Research Article,integrating multiple sources of clinical information with patient feedback to build evidence-based decision support model to facilitate treatment selection for   vestibular schwannomas patients,They are suggesting a model to create a decision aid,software or a paper-based tool (have not being made yet)  ,-,general,"Treatment  effectiveness, treatment side effects, effort  associated with course of treatment, related nonfinancial costs","i,s,specific",focus groups interview and survey,"By first  generating alternative treatment options then developing  success criteria and metrics for evaluating alternatives. Next,  building in ability to elicit value judgments on the  importance of criteria and metric relevance, and finally scoring  the alternatives by applying value weights.",m,mcda,MCDA,f,criteria development by data driven form focus groups.,3,"Yes, the treatment options and associated risks, have been based on formal feedback  from medical stakeholders",,"traditional open  surgery, radiosurgery, and conservative management ","A screening questionnaire (focusing on patient characteristics such as tumor size, age, and health status) will be implemented before walking through options below to eliminate upfront options that are not consistent with a patient's health. ","The patient, wanting to make a well-informed decision, wishes to compare the overall value associated with each alternative treatment",0,No,Making one of the first  attempts to use MCDA techniques to develop a decision  support model of VS patients,"cognitive bias, or a systematic pattern of deviation from rationality in judgment due to anxiety of patients","1-This research focused only on patients with small size tumors. So, another research should be repeated patients with bigger size tumors.  2- Additional studies in larger groups of patients are needed on the issue of patient perception of costs (both financial and non-financial)",No benefit as this article is only a suggested model for decision aid
